marketplacename,stock,tahunterbit,hargabuku,berat,lembartotal,status,urgent,tipetransaksi,servicefee,jumlah_order,jumlahcetak,kategoriutama,kategorisekunder,kategoritersier,statussku,tahun_transaksi,bulan_transaksi,hari_transaksi,dayofyear
3,0,2020.0,76000,0.0,41.0,3,0,0,0,1,2,8,46,72,0,2023,2,7,38
5,0,2020.0,83000,0.0,32.0,3,0,0,0,1,1,5,45,36,1,2023,2,7,38
3,0,2021.0,241000,0.0,193.0,3,0,0,0,2,2,5,41,45,0,2023,2,7,38
3,0,2021.0,107000,0.0,59.0,3,0,0,0,1,1,5,22,36,0,2023,2,7,38
3,0,2015.0,145000,0.0,127.0,3,0,0,0,1,1,3,51,53,1,2023,2,7,38
3,0,2020.0,113000,0.0,59.0,3,0,0,0,1,1,3,51,71,1,2023,2,7,38
3,1,2015.0,76500,0.0,32.0,3,0,0,0,1,2,10,24,53,1,2023,2,7,38
3,0,2020.0,82000,0.0,40.0,1,0,0,6720,1,1,5,36,26,1,2023,2,7,38
3,1,2021.0,76000,0.0,59.0,1,0,0,5488,1,1,4,61,42,0,2023,2,7,38
3,0,2021.0,88000,0.0,59.0,1,0,0,15120,2,2,4,61,53,0,2023,2,7,38
5,0,2019.0,75000,0.0,45.0,1,0,0,5270,1,1,10,24,53,0,2023,2,7,38
6,0,2019.0,13000,0.0,51.0,1,0,1,0,1,1,10,1,60,1,2023,2,7,38
6,3,2019.0,124000,0.0,48.0,1,0,1,0,1,0,10,70,53,1,2023,2,7,38
6,0,2022.0,89000,155.0,43.0,1,0,1,0,1,1,10,24,53,0,2023,2,7,38
6,0,2022.0,78000,0.0,59.0,1,0,1,0,1,1,10,24,36,0,2023,2,7,38
6,0,2019.0,193000,0.0,132.0,1,0,1,0,1,1,10,24,53,0,2023,2,7,38
5,516,2018.0,121000,0.0,102.0,3,0,0,0,1,0,8,46,53,0,2023,2,7,38
3,0,2013.0,115000,0.0,93.0,3,0,0,0,1,2,0,27,53,1,2023,2,7,38
3,0,2017.0,97000,0.0,56.0,3,0,0,0,1,1,10,24,53,0,2023,2,7,38
5,0,2015.0,102500,0.0,74.0,3,0,0,0,1,0,2,7,53,0,2023,2,7,38
3,0,2019.0,53000,0.0,59.0,1,0,0,3472,1,1,8,90,35,0,2023,2,7,38
3,0,2021.0,183000,0.0,109.0,3,0,0,0,1,1,8,46,69,0,2023,2,7,38
3,0,2022.0,120000,0.0,66.0,3,0,0,0,1,1,4,61,15,0,2023,2,7,38
0,0,2022.0,182000,0.0,59.0,3,0,0,0,1,1,10,24,53,0,2023,2,7,38
3,0,2022.0,120000,0.0,66.0,3,0,0,0,1,1,4,61,15,0,2023,2,7,38
